ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"5.16.0.18","anonymous","AS21353","RU","Enforta-MSK","52","N/A","8080","http","1341","791","2022-11-21T14:02:08.761Z","74","262","354"
"188.133.157.61","anonymous","AS21353","RU","Enforta-MSK","69","N/A","10000","http","1231","791","2022-11-21T14:02:51.400Z","95","323","340"
"185.184.52.113","anonymous","AS51477","RU","Teleradiokompaniya Kandalaksha LLC","66","Teleradiokompaniya Kandalaksha LLC","8080","http","1288","791","2022-11-21T14:03:54.457Z","98","335","341"
"202.153.233.228","anonymous","AS9340","ID","PT IndoInternet","173","N/A","8080","http","1156","791","2022-11-21T14:04:13.917Z","100","339","339"
"103.78.171.10","anonymous","AS146932","IN","Sanjeevan Networks Services Pvt Ltd","211","Sanjeevan Networks Services Pvt Ltd","83","http","1231","791","2022-11-21T14:02:22.252Z","100","335","336"
"165.227.0.166","anonymous","AS14061","US","DigitalOcean, LLC","149","Digital Ocean","3128","http","1453","791","2022-11-21T14:06:37.587Z","100","336","336"
"41.254.53.70","anonymous","AS21003","LY","LTT Network Backbone and POPs","50","Libyan Telecom and Technology","1981","http","1366","790","2022-11-21T14:08:35.345Z","100","340","340"
"190.186.1.177","anonymous","AS25620","BO","Cotas Ltda.","204","Cotas Ltda","999","http","1186","790","2022-11-21T14:06:28.370Z","100","338","338"
"95.216.215.69","anonymous","AS24940","FI","Hetzner Online GmbH","41","HETZNER-DC","3128","http","1304","790","2022-11-21T14:04:09.204Z","100","336","337"
"93.104.211.69","anonymous","AS8767","DE","MNET","28","Contabo GmbH","21","http","1440","788","2022-11-21T14:07:32.028Z","100","337","337"
"115.124.79.91","anonymous","AS38511","ID","PT Remala Abadi","159","N/A","8080","http","1209","788","2022-11-21T14:06:51.676Z","100","335","336"
"135.181.29.13","elite","AS24940","FI","Hetzner Online GmbH","43","Hetzner","3128","http","1234","788","2022-11-21T14:04:20.885Z","99","333","335"
"181.209.82.154","elite","AS52361","AR","ARSAT - Empresa Argentina de Soluciones Satelitales S.A","270","Daniel Alejandro Villagrán","23500","http","1182","787","2022-11-21T14:02:14.126Z","87","396","455"
"104.244.75.218","elite","AS53667","LU","FranTech Solutions","15","BuyVM","8080","http","1288","787","2022-11-21T14:08:52.909Z","98","356","362"
"203.89.126.250","elite","AS136215","BD","SB NETWORK","206","Mohammad Masfiequr Rahaman & Rony Saha","80","http","1168","787","2022-11-21T14:03:49.547Z","98","334","341"
"160.226.132.33","anonymous","AS328178","ZA","The Computer Hut","207","N/A","8080","http","1211","787","2022-11-21T14:06:53.616Z","79","267","339"
"186.10.252.90","anonymous","AS27651","CL","Entel Chile S.A.","221","Entel Chile S.A","999","http","1375","787","2022-11-21T14:06:39.532Z","99","333","335"
"200.111.182.6","anonymous","AS27651","CL","Entel Chile S.A.","222","Entel Chile S.A","443","http","1344","786","2022-11-21T14:06:20.791Z","99","334","339"
"198.59.191.234","elite","AS4181","US","TDS TELECOM","145","CHECS","8080","http","1251","786","2022-11-21T14:02:34.514Z","99","338","341"
"121.190.16.109","anonymous","AS4766","KR","Korea Telecom","219","Sudogwongangnambonbujang","3128","http","1186","786","2022-11-21T14:06:46.219Z","99","337","339"
"88.255.102.32","anonymous","AS9121","TR","TurkTelekom","78","N/A","8080","http","1271","786","2022-11-21T14:08:19.027Z","100","338","338"
"216.176.187.99","elite","AS23033","US","Wowrack.com","145","Sonya McKenzie","8886","http","1322","785","2022-11-21T14:03:46.873Z","90","305","340"
"185.44.232.30","elite","AS43160","ES","Avatel Telecom","34","AVATEL TELECOM, SA","53281","http","1224","785","2022-11-21T14:04:52.650Z","100","341","341"
"41.204.87.90","anonymous","AS15964","CM","Camtel Dla-tis Stm16","174","N/A","8080","http","1301","785","2022-11-21T14:06:48.559Z","97","329","340"
"112.78.137.106","anonymous","AS38482","ID","Biznet Networks","181","Asia TOP","8080","http","1258","785","2022-11-21T14:07:43.144Z","100","337","337"
"45.225.184.206","anonymous","AS265851","CL","MJL NETWORK EIRL","203","N/A","999","http","1300","785","2022-11-21T14:04:17.798Z","99","335","339"
"77.236.237.177","anonymous","AS21353","RU","Enforta-MSK","63","N/A","8080","http","1136","785","2022-11-21T14:02:30.742Z","93","314","339"
"93.240.114.68","elite","AS3320","DE","Deutsche Telekom AG","40","Deutsche Telekom AG","4003","http","1321","785","2022-11-21T14:04:15.850Z","100","338","338"
"107.178.9.186","anonymous","AS26077","US","Nextlink Broadband","127","Nextlink Broadband","8080","http","1204","785","2022-11-21T14:01:21.373Z","99","333","337"
"101.43.33.56","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","270","Tencent Cloud Computing (Beijing) Co., Ltd","2080","http","1247","784","2022-11-21T14:08:41.336Z","99","394","399"
"12.88.29.66","anonymous","AS7018","US","AT&T Services, Inc.","110","CFWN Pool ATTCT-NMPL4","9080","http","1238","784","2022-11-21T14:07:43.144Z","100","341","341"
"176.121.1.8","anonymous","AS209907","UA","FOP Saiv Igor Stepanovich","35","FOP Saiv Igor Stepanovich","8181","http","1231","784","2022-11-21T14:02:09.869Z","95","322","339"
"190.61.84.166","elite","AS52468","CR","Ufinet Panama S.A.","155","Ufinet Costa Rica, S. A","9812","http","1194","784","2022-11-21T14:09:14.290Z","100","333","333"
"185.126.202.76","anonymous","AS209782","IR","Dade Pardazi Mobinhost Company Ltd","124","XZN Hosting","4005","http","1236","783","2022-11-21T14:02:32.254Z","98","415","424"
"200.85.183.100","anonymous","AS28009","AR","Davitel S.A","230","Honorable Legislatura Neuquen","8080","http","1281","783","2022-11-21T14:06:39.976Z","100","341","341"
"82.200.237.10","anonymous","AS9198","KZ","Kazakhtelecom Data Network Administration","103","SITUACIONYICENTRE","8080","http","1230","783","2022-11-21T14:02:05.316Z","99","338","340"
"61.7.141.30","anonymous","AS131090","TH","CAT Telecom Public Company Limited","207","National Telecom Public Company Limited","8080","http","1433","783","2022-11-21T14:09:04.329Z","99","335","338"
"103.14.20.28","anonymous","AS131717","ID","PT Citra Jelajah Informatika","179","N/A","7777","http","1217","783","2022-11-21T14:02:47.095Z","98","331","337"
"190.13.84.34","anonymous","AS262186","CO","TV AZTECA SUCURSAL COLOMBIA","151","TV AZTECA SUCURSAL COLOMBIA","999","http","1280","783","2022-11-21T14:08:54.047Z","97","325","334"
"113.254.249.138","elite","AS9304","HK","HGC Global Communications Limited","200","HGC Global Communications Limited","8193","http","1330","782","2022-11-21T14:04:38.032Z","100","376","376"
"110.40.138.124","elite","AS45090","CN","China Internet Network Information Center","248","Tencent cloud computing (Beijing) Co., Ltd.","8080","http","1173","782","2022-11-21T14:05:44.948Z","98","334","341"
"181.205.106.106","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","148","Colombia Móvil","9812","http","1295","782","2022-11-21T14:02:52.957Z","100","341","341"
"45.225.184.177","anonymous","AS265851","CL","MJL NETWORK EIRL","227","N/A","999","http","1304","782","2022-11-21T14:02:52.957Z","94","322","341"
"103.85.114.249","anonymous","AS139901","BD","Apple Communication Ltd.","203","New CNS Online","8080","http","1151","782","2022-11-21T14:04:05.720Z","98","329","336"
"8.208.82.80","elite","AS45102","GB","Alibaba.com Singapore E-Commerce Private Limited","12","Aliyun Computing Co.","8081","http","1228","781","2022-11-21T14:02:29.593Z","100","455","455"
"154.117.159.230","anonymous","AS37358","ZA","BitCo","169","N/A","8080","http","1300","781","2022-11-21T14:05:21.852Z","97","439","453"
"85.25.111.162","elite","AS61157","DE","PlusServer GmbH","31","PlusServer GmbH","5566","http","1183","781","2022-11-21T14:04:01.865Z","100","339","340"
"36.94.8.23","anonymous","AS7713","ID","PT. Telekomunikasi Indonesia","185","Telekomunikasi Indonesia","8080","http","1369","781","2022-11-21T14:02:01.386Z","99","335","340"
"213.251.238.26","anonymous","AS29420","RU","NLine-Kiev","57","Enlain LLC","8080","http","1294","781","2022-11-21T14:03:30.691Z","99","335","339"
"77.236.236.38","anonymous","AS21353","RU","Enforta-MSK","59","ArtCommunications Ltd.","10000","http","1298","781","2022-11-21T14:02:02.140Z","99","328","332"
"134.73.184.238","anonymous","AS46573","US","LayerHost","141","ELIDC","25283","https","1206","780","2022-11-21T14:02:12.566Z","100","445","445"
"51.68.199.120","anonymous","AS16276","GB","OVH SAS","8","OVH Ltd","3128","http","1226","780","2022-11-21T14:04:59.816Z","100","438","438"
"130.185.251.125","anonymous","AS203380","GB","DA International Group Ltd.","9","DA International Group Ltd","8080","http","1271","780","2022-11-21T14:02:02.141Z","69","303","436"
"201.222.83.145","anonymous","AS25620","BO","Cotas Ltda.","204","Inter Cambios SRL","999","http","1282","780","2022-11-21T14:01:47.396Z","95","327","344"
"47.241.66.249","elite","AS45102","SG","Alibaba.com LLC","318","ALICLOUD-SG","1081","http","1264","780","2022-11-21T14:09:13.614Z","99","338","340"
"198.69.13.254","anonymous","AS30873","YE","Sprint","164","SPLK/TELE YEMEN","9090","http","1280","780","2022-11-21T14:02:02.141Z","98","330","336"
"190.131.250.105","anonymous","AS262191","CO","Columbus Networks Colombia","137","Columbus Networks Colombia","999","http","1224","779","2022-11-21T14:04:42.216Z","100","335","335"
"45.231.221.193","anonymous","AS28424","MX","Distrokom S De RL De CV","145","Distrokom S De RL De CV","999","http","1257","778","2022-11-21T14:02:06.855Z","98","448","456"
"182.253.93.4","elite","AS17451","ID","BIZNET","184","N/A","53281","http","1254","778","2022-11-21T14:02:25.334Z","100","380","381"
"51.79.205.165","elite","AS16276","SG","OVH SAS","154","OVH Singapore PTE. LTD","8080","http","1184","778","2022-11-21T14:04:40.729Z","100","338","338"
"186.232.119.58","anonymous","AS53190","BR","G4 TELECOM COMERCIO E SERVICOS DE INFORMATICA","206","Vero S.A","3128","http","1208","778","2022-11-21T14:04:37.289Z","98","332","338"
"103.17.213.98","anonymous","AS24492","KH","WiCAM Corporation Ltd","203","WiCAM Corporation Ltd.","8080","http","1153","778","2022-11-21T14:08:51.678Z","100","337","338"
"91.93.42.117","anonymous","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","60","Telekom19 Telekominikasyon Teknoloji Bilisim Hizmetleri Sanayi VE Ticaret Ltd.","10001","http","1278","777","2022-11-21T14:01:28.858Z","100","340","340"
"212.89.188.115","elite","AS49864","AT","ECSNET","34","N/A","21231","http","1226","777","2022-11-21T14:08:22.301Z","96","329","341"
"42.2.189.238","elite","AS4760","HK","PCCW IMS Limited","235","Hong Kong Telecommunications (HKT) Limited","80","http","1362","777","2022-11-21T14:05:39.526Z","98","333","340"
"5.44.54.16","anonymous","AS21353","RU","JSC \"ER-Telecom Holding\"","68","Enforta-KGD","8080","http","1194","777","2022-11-21T14:04:42.216Z","97","328","337"
"103.78.36.163","elite","AS131111","ID","MORATELINDO","175","Moratelindo","46977","http","1265","777","2022-11-21T14:07:02.556Z","99","333","336"
"81.12.72.110","anonymous","AS42337","IR","Respina Networks & Beyond PJSC","91","Respina Networks","6060","http","1266","777","2022-11-21T14:09:15.959Z","100","334","334"
"8.242.187.227","anonymous","AS3549","CO","CTL Colombia","163","Vira Telecomunicaciones","999","http","1279","776","2022-11-21T14:09:13.649Z","100","414","416"
"142.93.108.171","anonymous","AS14061","DE","DigitalOcean, LLC","31","DigitalOcean, LLC","3128","http","1232","776","2022-11-21T14:02:14.507Z","100","350","350"
"200.106.187.252","anonymous","AS271779","AR","Fullnet Solutions S.A.S.","233","Fullnet Solutions","999","http","1171","776","2022-11-21T14:02:31.843Z","98","333","340"
"34.110.251.255","anonymous","AS396982","US","Google LLC","1","Google Cloud","80","http","1229","775","2022-11-21T14:01:51.261Z","100","455","455"
"94.181.48.171","anonymous","AS21353","RU","Enforta-MSK","62","N/A","1256","http","1222","775","2022-11-21T14:03:56.800Z","100","341","341"
"103.4.117.161","anonymous","AS38203","BD","ADN Telecom Ltd.","155","ADN Telecom Limited.","8080","http","1274","775","2022-11-21T14:07:36.475Z","100","334","335"
"185.202.165.1","elite","AS43160","ES","AVATEL TELECOM, SA","33","AVATEL TELECOM, SA","53281","http","1299","775","2022-11-21T14:03:55.630Z","100","335","335"
"39.107.33.254","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","185","Aliyun Computing Co., LTD","8090","http","1281","774","2022-11-21T14:05:50.461Z","96","325","340"
"124.220.168.140","anonymous","AS45090","CN","China Internet Network Information Center","328","Tencent cloud computing (Beijing) Co., Ltd.","3128","http","1231","774","2022-11-21T14:03:55.987Z","96","327","339"
"83.142.166.45","anonymous","AS8369","RU","Intersvyaz-2 JSC","74","Intersvyaz-2 JSC","8080","http","1158","774","2022-11-21T14:03:48.000Z","100","339","339"
"179.43.96.178","anonymous","AS263189","PE","GLG PERU SAC","181","GLG PERU SAC","8080","http","1244","774","2022-11-21T14:04:05.282Z","100","339","339"
"51.38.93.100","anonymous","AS16276","GB","OVH SAS","8","LTD REGXA","3128","https","1279","773","2022-11-21T14:07:40.764Z","100","455","455"
"93.100.33.16","anonymous","AS35807","RU","SkyNet LLC","40","SkyNet Networks","8080","http","1446","772","2022-11-21T14:08:31.400Z","99","438","444"
"59.11.153.88","elite","AS4766","KR","Korea Telecom","227","Kornet","80","http","1197","772","2022-11-21T14:04:03.812Z","100","340","340"
"221.120.210.211","elite","AS17557","PK","Pakistan Telecommuication company limited","164","UMT","39617","http","1270","772","2022-11-21T14:03:55.630Z","100","340","340"
"213.149.182.98","anonymous","AS6866","CY","CYTANET - Cyprus Telecommunications Authority","48","N/A","8080","http","1104","772","2022-11-21T14:03:42.944Z","100","340","340"
"69.11.145.106","anonymous","AS4181","US","TDS TELECOM","261","TDS TELECOM","8080","http","1229","772","2022-11-21T14:02:45.189Z","83","281","338"
"80.78.237.2","anonymous","AS39184","BG","UltraNET - Halil Network","44","UltraNET Ltd","55443","http","1345","771","2022-11-21T14:01:20.611Z","99","360","362"
"103.252.1.137","anonymous","AS38732","VN","CMCMIENBAC","203","N/A","3128","http","1354","771","2022-11-21T14:08:40.925Z","100","339","339"
"120.26.47.113","elite","AS37963","CN","Addresses CNNIC","257","Aliyun Computing Co., LTD","30001","http","1407","771","2022-11-21T14:07:38.776Z","99","335","339"
"45.71.198.242","anonymous","AS265828","AR","Infomaster S.R.L.","226","Infomaster S.R.L","999","http","1159","771","2022-11-21T14:01:36.358Z","97","329","339"
"188.133.158.80","anonymous","AS21353","RU","Enforta-MSK","148","N/A","1256","http","1336","771","2022-11-21T14:01:18.695Z","97","329","339"
"5.44.62.166","anonymous","AS12772","RU","JSC \"ER-Telecom Holding\"","105","Enforta-RND","8080","http","1268","771","2022-11-21T14:04:53.468Z","99","334","336"
"118.97.47.250","elite","AS7713","ID","PT. TELKOM INDONESIA","200","N/A","55443","http","1264","770","2022-11-21T14:01:43.536Z","78","264","340"
"178.151.205.154","elite","AS13188","UA","Triolan","54","AZ International LLC","45099","http","1254","770","2022-11-21T14:04:32.917Z","99","336","339"
"173.212.213.133","anonymous","AS51167","DE","Contabo GmbH","16","Contabo GmbH","3128","http","1223","769","2022-11-21T14:01:55.961Z","100","455","455"
"211.234.125.3","anonymous","AS3786","KR","KIDC","290","URISYSTEM","443","http","1157","769","2022-11-21T14:02:12.931Z","95","432","456"
"51.77.141.29","elite","AS16276","FR","OVH SAS","11","OVH","1081","http","1256","769","2022-11-21T14:04:36.405Z","100","359","359"
"49.0.88.27","anonymous","AS133481","TH","AIS-Fibre","188","N/A","8080","http","1246","769","2022-11-21T14:09:00.542Z","99","339","341"
"189.203.10.141","anonymous","AS22884","MX","Total Play Telecomunicaciones SA De CV","143","Total Play Telecomunicaciones SA De CV","999","http","1206","769","2022-11-21T14:01:55.962Z","99","335","338"
"196.216.65.57","anonymous","AS30844","KE","Liquid Telecommunications Ltd","158","LTK KE SME","8080","http","1354","769","2022-11-21T14:05:05.919Z","99","334","336"
"51.15.228.227","anonymous","AS12876","FR","SCALEWAY","0","ONLINE","3128","http","1356","768","2022-11-21T14:07:37.604Z","100","456","456"
"190.92.35.102","anonymous","AS27884","HN","Cablecolor S.A.","132","Cablecolor S.A","999","http","1233","768","2022-11-21T14:03:27.215Z","100","339","340"
"49.247.24.133","elite","AS38700","KR","SMILESERV","216","SMILESERV","3128","http","1205","768","2022-11-21T14:05:20.678Z","29","97","340"
"221.121.12.238","elite","AS7602","VN","STS","272","SPT Corp.","36077","http","1239","768","2022-11-21T14:01:43.536Z","96","327","340"
"81.201.56.67","anonymous","AS8251","CZ","Neutral Free eXchange members - FreeTel alternate","27","PilsFree, z.s","8888","http","1253","768","2022-11-21T14:06:21.975Z","99","338","340"
"119.28.223.220","elite","AS132203","HK","ComsenzNet","240","Tencent cloud computing (Beijing) Co., Ltd.","5566","http","1253","768","2022-11-21T14:04:44.251Z","100","340","340"
"43.241.131.97","anonymous","AS58678","IN","Excel Solutions","125","Excel Solutions","8080","http","1102","768","2022-11-21T14:02:04.492Z","99","335","337"
"87.98.238.70","anonymous","AS16276","PL","OVH ISP","5","OVH Sp. z o. o","3133","http","1276","768","2022-11-21T14:03:12.703Z","100","334","334"
"37.139.26.54","elite","AS14061","NL","DigitalOcean, LLC","13","Digital Ocean","3128","http","1226","767","2022-11-21T14:06:47.047Z","100","414","414"
"119.2.52.152","anonymous","AS55666","ID","GMEDIA","182","N/A","8282","http","1390","767","2022-11-21T14:06:45.445Z","100","337","337"
"102.68.130.18","anonymous","AS37284","LY","Aljeel Aljadeed For Technology","34","Echo Company","6666","http","1263","767","2022-11-21T14:02:16.878Z","99","336","338"
"51.254.32.245","elite","AS16276","FR","OVH SAS","7","OVH","3128","http","1273","766","2022-11-21T14:02:58.749Z","100","355","355"
"188.132.169.88","elite","AS20649","TR","FS Veri Merkezi Internet Teknolojileri Limited Sirketi","52","PremierDC Veri Merkezi Anonim Sirketi","8118","http","1207","766","2022-11-21T14:06:46.242Z","99","338","340"
"203.202.249.2","anonymous","AS24323","BD","Aamra Networks Limited","176","Aamra Networks Limited","8080","http","1192","766","2022-11-21T14:04:01.514Z","99","339","341"
"41.65.236.43","elite","AS36992","EG","Etisalat Misr","76","Nile Online","1981","http","1404","766","2022-11-21T14:06:45.445Z","95","321","339"
"207.180.192.43","elite","AS51167","DE","Contabo GmbH","18","Contabo GmbH","8118","http","1183","766","2022-11-21T14:03:59.840Z","99","335","337"
"116.203.201.82","elite","AS24940","DE","Hetzner Online GmbH","18","Hetzner","8443","http","1239","766","2022-11-21T14:08:34.581Z","100","333","334"
"186.96.148.144","anonymous","AS22884","MX","Total Play Telecomunicaciones SA De CV","144","Total Play Telecomunicaciones SA De CV","999","http","1190","766","2022-11-21T14:04:26.018Z","99","333","335"
"103.241.178.10","anonymous","AS135477","ID","PT. Java Digital Nusantara","205","Javadigital","3125","http","1310","765","2022-11-21T14:04:13.127Z","99","336","340"
"197.255.55.122","anonymous","AS35074","NG","Cobranet Limited","143","Cobranet Limited","41890","http","1150","764","2022-11-21T14:08:08.376Z","94","319","340"
"167.114.96.27","elite","AS16276","CA","OVH SAS","82","OVH Hosting, Inc.","9300","http","1250","764","2022-11-21T14:06:26.416Z","100","338","338"
"202.152.24.50","anonymous","AS4800","ID","PT Aplikanusa Lintasarta","206","N/A","8080","http","1235","764","2022-11-21T14:02:47.900Z","99","332","337"
